| 原始标签 | 名称 | 描述 | 外部链接 |
| mayoi neko overrun | 迷途猫OverRun | ![图](https://ehgt.org/11/24/11244eff647229a9dfa91a226f0595b04e584616-542928-1200-1700-jpg_l.jpg) |  |
| outbreak company | 萌萌侵略者 | ![图](# "https://ehgt.org/4b/55/4b55349b26d1f425109928d09be98bb80e5bcecf-2328939-2149-3000-jpg_l.jpg")![图](# "https://ehgt.org/c3/9c/c39cf717905c2fdb9db6343309c1e2a6ee0263fa-981328-2140-3000-jpg_l.jpg") |  |
| kyoukai no kanata | 境界的彼方 | ![图](https://ehgt.org/63/09/6309cec6eb0ee71940f1d0b408f1198364f5efa0-926542-1417-2000-jpg_l.jpg) |  |
| hataraku maou-sama | 打工吧！魔王大人 | ![图](# "https://ehgt.org/ce/25/ce2528552f9e377a1246348581d3e6cfb344750b-1250556-1481-2100-jpg_l.jpg") |  |
| haiyore nyaruko-san | 潜行吧！奈亚子 | ![图](# "https://ehgt.org/1f/39/1f3920cab6a42f7ced12b547a70d665491574993-402737-765-1080-jpg_l.jpg") |  |
| hentai ouji to warawanai neko | 变态王子与不笑猫 | ![图](https://ehgt.org/82/06/82060c2cdfdf6c01bd27b736e787820c8241ddf2-836991-2512-3600-jpg_l.jpg)![图](https://ehgt.org/c6/56/c65648abba02d253b9053ba6897355aa80f05add-1929355-2552-3600-jpg_l.jpg) |  |
| nagi no asukara | 来自风平浪静的明天 | ![图](https://ehgt.org/4d/4f/4d4f77c66e253ade1cb7415485ab2f1b2aca94ef-2575112-2479-3507-jpg_l.jpg) |  |
| sekai seifuku bouryaku no zvezda | 世界征服～谋略之星～ | ![图](# "https://ehgt.org/90/1f/901f92557b3009e73a5dccd3354c8776273e9537-1999681-1254-1816-jpg_l.jpg") |  |
| no game no life | 游戏人生 | ![图](# "https://ehgt.org/ac/3e/ac3e54bcd913fb0f513e76d9b0b64cc42875942b-2532874-2138-3021-jpg_l.jpg")<br>官方逼死同人↓<br>![官逼人](# "https://ehgt.org/8c/43/8c43d8f851dc53eeee03260dbc6e49db93cb5f64-1068795-2141-3022-jpg_l.jpg") |  |
| barakamon | 元气囝仔 | 漫画<br>![图](# "https://ehgt.org/91/01/9101a896c63cf4ed7aec31807d55362ec1cbd79a-3065190-2463-3500-jpg_l.jpg") |  |
| divine gate | 神圣之门 | 游戏<br>![图](# "https://ehgt.org/56/7d/567da8c0ee0c17ca1dabbab905cafb44120748d6-851499-1433-2023-jpg_l.jpg") |  |
| sayonara zetsubou sensei | 再见！绝望先生 | 漫画<br>![图](https://ehgt.org/81/40/814081ac108eac6524b2431c7f7e2cf9eedc15d7-2120348-2845-4019-jpg_l.jpg) |  |
| highschool of the dead | 学园默示录 | 肉感打僵尸<br>![图](# "https://ehgt.org/f7/97/f7977f970020e06c854ee8b1e61f7631e0eab27d-1841395-1404-2000-jpg_250.jpg")![图](https://ehgt.org/25/d0/25d0252af47dbf969afd9e84293f16d3b0763952-6834534-7180-10139-jpg_l.jpg) |  |
| gakkou gurashi | 学园孤岛 | ![logo](https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Gakkō_Gurashi!_logo.png/220px-Gakkō_Gurashi!_logo.png)<br>萝莉打僵尸<br>![图](# "https://ehgt.org/22/54/2254927f2dc9109156292dd400cdda9892dcbd40-1606151-1512-2103-png_l.jpg") |  |
| a channel | A频道 | 漫画<br>![图](# "https://ehgt.org/70/af/70afc872d80ae56818347695712c84370978b85f-219447-600-600-jpg_l.jpg") |  |
| granblue fantasy | 碧蓝幻想 | 碧蓝幻想（日文：グランブルーファンタジー，英文：Granblue Fantasy）是由Cygames发行开发，由Mobage、DMM、GREE共同运营的网页游戏。有改编动画和漫画作品。2017年6月登录数突破1500万人。<br>![图](# "https://ehgt.org/07/81/078102b1dbdc85b5196c4ad571dfb1830d0fb791-2885074-1419-2016-jpg_250.jpg")![图](# "https://ehgt.org/c1/e3/c1e33bbd32d497529572139cc837431b66376ce1-1866448-2874-4034-jpg_250.jpg") |  |
|  | ▼高达 系列 |  |  |
| gundam | 高达 |  |  |
| gundam age | 机动战士高达AGE |  |  |
| gundam 00 | 机动战士高达00 | ![图](# "https://ehgt.org/ce/cd/cecddb028828ba71cd011ba442ef99e8a7c5fa3a-144928-620-928-jpg_l.jpg") |  |
| gundam 0080 | 机动战士高达0080 口袋里的战争 |  |  |
| gundam 0083 | 机动战士高达0083 星尘回忆录 |  |  |
| gundam unicorn | 机动战士高达UC |  |  |
| gundam f91 | 机动战士高达F91 |  |  |
| gundam seed | 机动战士高达SEED | ![图](https://img.moegirl.org/common/thumb/c/cd/Ac4bd11373f082022999d8944bfbfbedab641b15.jpg/375px-Ac4bd11373f082022999d8944bfbfbedab641b15.jpg) | [萌娘百科](https://zh.moegirl.org/zh-hans/机动战士高达SEED) |
| gundam seed destiny | 机动战士高达SEED DESTINY | ![图](https://upload.wikimedia.org/wikipedia/zh/thumb/4/4f/SEED_D_logo.jpg/360px-SEED_D_logo.jpg) | [维基百科](https://www.wikiwand.com/zh-cn/機動戰士GUNDAM_SEED_DESTINY) |
| gundam zz | 机动战士高达ZZ | ![图](https://ehgt.org/28/b4/28b43dfc888770661a8e221124f932f05160c996-1460156-1606-2269-jpg_l.jpg) |  |
| mobile suit gundam | 机动战士高达 |  |  |
| mobile suit gundam lost war chronicles | 机动战士高达战记 Lost War Chronicles |  |  |
| mobile suit gundam tekketsu no orphans | 机动战士高达 铁血的孤儿 |  |  |
| gundam wing | 新机动战记高达W |  |  |
| gundam build fighters | 高达创战者 |  |  |
| gundam build fighters try | 高达创战者TRY |  |  |
| gundam build divers | 高达创形者 |  |  |
| gundam g no reconguista | 高达G之复国运动 |  |  |
| gundam x | 机动新世纪高达X |  |  |
| victory gundam | 机动战士V高达 |  |  |
| zeta gundam | 机动战士Z高达 |  |  |
| g gundam | 机动武斗传G高达 |  |  |
| turn a gundam | ∀高达 |  |  |
|  | ▲高达 系列 |  |  |
| kiniro mosaic | 黄金拼图 | Happy Day!<br>黄图×点兔，两大萝莉控天堂<br>![图](https://ehgt.org/5a/8f/5a8f63996f610842bb0aacf6fbb85fdd562af8e1-2129828-2680-3800-jpg_l.jpg)![图](https://ehgt.org/6c/f3/6cf307633a93741aae2b49d277d0246a6c443fbf-2197700-2461-3500-jpg_l.jpg) |  |
| gochuumon wa usagi desu ka | 请问您今天要来点兔子吗？ | 黄图×点兔，两大萝莉控天堂<br>![点兔](https://ehgt.org/b3/1e/b31eda4c064a25c49e2df84acce9b7999d3f318d-2304567-2477-3500-jpg_l.jpg)![图](# "https://ehgt.org/92/37/9237e3f26118e0051fcbc4a3fc28eca075eaa7d8-4893694-2452-3467-jpg_l.jpg") |  |
| non non biyori | 悠哉日常大王 | ![图](https://ehgt.org/59/0c/590c82282e840fcf1916ca9751ea6c6fab6fc918-2831485-1420-2015-jpg_l.jpg)![图](https://ehgt.org/a2/ab/a2ab7d0ee1a3b5904fd7aaddfc21196bde19ebd3-743337-2114-2995-jpg_l.jpg) |  |
| oda nobuna no yabou | 织田信奈的野望 | 轻小说，不了解<br>![图](# "https://ehgt.org/03/b1/03b11ebb5fb63112baf55d30c0ea76497ff04242-2189251-1400-2000-jpg_l.jpg")![图](# "https://ehgt.org/62/50/6250aa07b33994c1b159162aa1bb9b813102b4d3-5842321-4287-3000-png_l.jpg") |  |
| tamako market | 玉子市场 | ![图](https://ehgt.org/3f/f2/3ff239e2101a3517f6fe95c8c471214c82953376-160698-645-1000-jpg_l.jpg) |  |
| yama no susume | 向山进发 | ![图](# "https://ehgt.org/b5/24/b524fac42683f3c8b7f35f018a56fa45566c434d-2077281-1504-2114-jpg_l.jpg")![图](# "https://ehgt.org/16/a4/16a494e4a42f1a183e12f6d33f4297d3dd42e3ff-3033012-1409-2000-jpg_l.jpg") |  |
| pripara | 美妙天堂 | 又译《星光乐园》，游戏不了解<br>![图](# "https://ehgt.org/00/85/0085b512593931eeb83cbfefdc27c1680e68bf38-769698-1506-2123-jpg_l.jpg")![图](# "https://ehgt.org/40/ac/40ac686e31a678c6686e233fd01ef176a7146a32-7306897-2133-3000-jpg_l.jpg") |  |
| sora no method | 天体的秩序 | ![图](https://ehgt.org/3b/c8/3bc85ea59e15a8f8ece52194dec5844687dbb5e9-4019322-2425-3477-jpg_l.jpg)![图](# "https://ehgt.org/cb/0b/cb0b0596498369b9221f64ea5873c359fbb0a004-6362697-2128-3000-jpg_250.jpg") |  |
| accel world | 加速世界 | 人不如猪<br>![图](# "https://ehgt.org/c0/f1/c0f16dcec18c9aff466d801566d3b900701f14ad-1967836-2838-2000-jpg_l.jpg")![图](# "https://ehgt.org/be/36/be363662f5605eef0cab1e2b78125fcfc4f8393b-1719724-1704-2400-jpg_l.jpg") |  |
| dungeon ni deai o motomeru no wa machigatteiru darou ka | 在地下城寻求邂逅是否搞错了什么 | ![图](# "https://ehgt.org/c1/8a/c18aaa27833203ba0dfad386fe5f84d29d788a28-1145036-2168-3025-jpg_l.jpg")![图](https://ehgt.org/50/3d/503d6f2ac3890c699044490fada25e05e7addf2a-645630-1409-2000-jpg_l.jpg) |  |
| c cube | C³-魔方少女- | ![图](https://ehgt.org/e3/c0/e3c0244c8c36f632e8e5ba6e26bd03ad169d5e33-2002414-2212-3140-jpg_250.jpg)![图](https://ehgt.org/f3/a3/f3a36ee3c0766a7214b769ced70d3c87125952cb-3613448-2212-3076-jpg_l.jpg) |  |
| shingeki no kyojin | 进击的巨人 | 是谁杀死了bilibili呀？<br>![图](# "https://ehgt.org/f9/cb/f9cb1401b2eb63a0839bb3899406ecf92489cc08-1105319-925-1300-jpg_l.jpg")![图](# "https://ehgt.org/ac/ec/acec35fe71dd19d906849a86aa44196b0304a933-1079311-919-1300-jpg_l.jpg")![图](# "https://ehgt.org/22/c0/22c0ab3323555704e38751fa4acf2bcde768c7e9-806400-1325-1858-jpg_l.jpg")![图](# "https://ehgt.org/b0/e2/b0e25cc903ab905956e63c0734da7e4a4dd10555-170643-842-1200-jpg_l.jpg") |  |
| onidere | 鬼骄 | 漫画，不了解<br>![图](https://ehgt.org/8b/77/8b7775d1efcae22da99169cbf554b441092e72d6-149178-600-848-jpg_l.jpg) |  |
| infinite stratos | 无限斯特拉托斯 | IS(Infinite Stratos)<br>日本人眼中的中国人<br>![图](https://ehgt.org/f8/17/f817d86ff58306a20d892fafa08b48d709b41275-320892-630-420-jpg_l.jpg)![图](https://ehgt.org/b6/9d/b69d01c95806a70d72e6587b320bde0f29b3cf48-1532851-2135-3000-jpg_l.jpg)![图](https://ehgt.org/01/b9/01b98ec281da4c38481521823dcfe053d0678880-489958-1358-2000-jpg_l.jpg) |  |
| disgaea | 魔界战记 | 游戏，不了解<br>![图](https://ehgt.org/de/9a/de9ae23da8309e14526c36df93ff1774c92995c7-2989024-2454-3486-jpg_l.jpg)![图](https://ehgt.org/c0/73/c0735817f0aea167758d9ff102d45ac338687e07-2405201-2428-3483-jpg_l.jpg) |  |
| chuunibyou demo koi ga shitai | 中二病也要谈恋爱！ | ![图](# "https://ehgt.org/49/a8/49a8751f9a444456a25139ebd0a2dc7c3f179fae-2180129-1393-2000-jpg_l.jpg")![图](# "https://ehgt.org/ca/ac/caac4ca2b6f0750cac39acad1512a5e0f808a021-937875-2131-3000-jpg_250.jpg") |  |
| ano hi mita hana no namae wo bokutachi wa mada shiranai | 我们仍未知道那天所看见的花的名字。 | 又译为“未闻花名”，日本官方简称“那朵花”<br>![图](https://ehgt.org/b9/82/b982e8d3a269a0a2aec6706368054b49e41aa83e-1003852-2000-1417-jpg_l.jpg)![图](https://ehgt.org/82/69/826926e8c503e92084baaff53688aa4bc5acc1c7-2122976-2115-3031-jpg_l.jpg) |  |
| amagi brilliant park | 甘城光辉游乐园 | 《甘城辉煌乐园救世主》轻小说，不了解<br>![图](# "https://ehgt.org/67/6b/676b840b033812a59a8db54a8e864524049915ac-7104563-4294-2999-jpg_250.jpg")![图](https://ehgt.org/d4/13/d41375f1cef858307da3d3eb6cb6be1b57bbd2b0-863646-1597-2276-jpg_l.jpg) |  |
| hidan no aria | 绯弹的亚莉亚🔫 | 官方逼死同人↓<br>![图](https://ehgt.org/26/ff/26ffeeaeb23fafb7938088c9abff7944a3ee2d1e-5770870-2516-3578-png_l.jpg)![图](https://ehgt.org/5f/48/5f487874b41b0196dda23f7aeaa19847eff839f9-4019236-5374-3800-jpg_l.jpg) |  |
